timestamp,zone_id,air_temperature,humidity,rainfall,soil_moisture,soil_temperature,light_intensity,irrigation_need
01-08-2025 00:00,Z1,21.5,89.71,0,61.43,20.05,0,Low
01-08-2025 01:00,Z1,22.53,82.61,0,61.71,20.58,2608,Low
01-08-2025 02:00,Z1,22.26,84.15,0,61.91,20.24,0,Low
01-08-2025 03:00,Z1,22.88,84.89,0,62.17,20.74,0,Low
01-08-2025 04:00,Z1,23.8,83.94,0,62.27,22.49,560,Low
01-08-2025 05:00,Z1,25.57,81.52,0,62.21,24.21,0,Low
01-08-2025 06:00,Z1,27.36,86,2,64.61,25.39,0,Low
01-08-2025 07:00,Z1,27.5,79.6,0,64.21,25.95,15493,Low
01-08-2025 08:00,Z1,29.99,76.46,0,64,28.81,37001,Low
01-08-2025 09:00,Z1,29.48,90.17,10,76.38,27.89,21497,Low
01-08-2025 10:00,Z1,29.75,71.1,0,76.92,28.74,61781,Low
01-08-2025 11:00,Z1,30.47,74.45,0,76.94,28.78,74835,Low
01-08-2025 12:00,Z1,30.96,74.51,0,76.79,29.21,71216,Low
01-08-2025 13:00,Z1,30.98,73.88,0,76.2,28.97,71798,Low
01-08-2025 14:00,Z1,29.91,74.36,0,77.09,27.99,65102,Low
01-08-2025 15:00,Z1,29.55,76.44,0,77.21,28.02,51953,Low
01-08-2025 16:00,Z1,28.56,76.96,0,76.28,26.8,38267,Low
01-08-2025 17:00,Z1,27.56,78.02,0,76.01,25.89,20883,Low
01-08-2025 18:00,Z1,25.58,80.37,0,76.13,23.79,1724,Low
01-08-2025 19:00,Z1,24.85,83.28,0,76.46,23.07,1600,Low
01-08-2025 20:00,Z1,24.8,82.54,0,76.2,23.57,0,Low
01-08-2025 21:00,Z1,22.75,84.9,0,76.18,21.57,0,Low
01-08-2025 22:00,Z1,23.07,82.11,0,75.86,21.24,0,Low
01-08-2025 23:00,Z1,21.9,83.04,0,75.85,20.29,1270,Low
02-08-2025 00:00,Z1,21.12,82.3,0,76.19,19.53,367,Low
02-08-2025 01:00,Z1,22.54,83.99,0,76.48,19.94,952,Low
02-08-2025 02:00,Z1,22.2,86.17,0,76.33,20.91,0,Low
02-08-2025 03:00,Z1,22.73,90.5,1,77.4,21.17,0,Low
02-08-2025 04:00,Z1,23.63,83.03,0,77.12,22.32,0,Low
02-08-2025 05:00,Z1,25.4,97.09,5,83.14,23.94,1701,Low
02-08-2025 06:00,Z1,26.05,76.44,0,83.38,24.17,0,Low
02-08-2025 07:00,Z1,27.62,78.99,0,83.53,25.64,17399,Low
02-08-2025 08:00,Z1,28.38,77.57,0,82.8,27.1,37202,Low
02-08-2025 09:00,Z1,29.28,79.04,1,84.2,27.66,24549,Low
02-08-2025 10:00,Z1,29.62,77.71,0,83.82,28.74,62202,Low
02-08-2025 11:00,Z1,30.98,72.31,0,83.41,28.82,67807,Low
02-08-2025 12:00,Z1,31.29,72.91,0,83.31,29.77,73206,Low
02-08-2025 13:00,Z1,31.19,87.71,5,87.99,29.77,34316,Low
02-08-2025 14:00,Z1,30.77,74.19,0,88.1,29.74,61828,Low
02-08-2025 15:00,Z1,30.01,76.57,0,88.25,28.28,51788,Low
02-08-2025 16:00,Z1,28.31,77.85,0,87.77,26.74,39098,Low
02-08-2025 17:00,Z1,27.67,79,0,87.25,26.5,18188,Low
02-08-2025 18:00,Z1,25.42,81.4,0,87.29,24.42,3322,Low
02-08-2025 19:00,Z1,25.01,81.71,0,86.92,23.41,2563,Low
02-08-2025 20:00,Z1,24.84,85.37,0,86.52,23.43,0,Low
02-08-2025 21:00,Z1,23.81,83.83,0,86.24,21.48,0,Low
02-08-2025 22:00,Z1,22.62,89.28,0,86.1,21.19,13,Low
02-08-2025 23:00,Z1,20.73,91.04,0,85.94,18.99,0,Low
03-08-2025 00:00,Z1,22.18,89.89,0,85.71,20.51,0,Low
03-08-2025 01:00,Z1,21.67,87.84,0,85.9,20.69,3608,Low
03-08-2025 02:00,Z1,22.79,88.67,0.2,86.1,21.79,711,Low
03-08-2025 03:00,Z1,23.75,83.84,0.2,86.19,22.28,0,Low
03-08-2025 04:00,Z1,24,83.05,0,86.1,22.76,0,Low
03-08-2025 05:00,Z1,26.09,79.69,0,85.86,24.27,0,Low
03-08-2025 06:00,Z1,26.94,77.41,0,85.54,25.6,1461,Low
03-08-2025 07:00,Z1,27.63,79.67,0,85.99,26.09,22587,Low
03-08-2025 08:00,Z1,27.85,77.96,0,86.4,26.94,37843,Low
03-08-2025 09:00,Z1,28.83,77.59,0,85.57,27.25,52685,Low
03-08-2025 10:00,Z1,30.54,76.77,0,85.87,29.75,60211,Low
03-08-2025 11:00,Z1,30.45,74.53,0,85.62,28.93,70242,Low
03-08-2025 12:00,Z1,30.25,91.17,10,90,29.44,33702,Low
03-08-2025 13:00,Z1,31.47,71.48,0,90,30.07,68617,Low
03-08-2025 14:00,Z1,31.15,76.82,0,89.7,29.99,64311,Low
03-08-2025 15:00,Z1,29.84,84.05,2,90,28.74,26756,Low
03-08-2025 16:00,Z1,28.8,80.57,0,89.9,27.09,42219,Low
03-08-2025 17:00,Z1,27.38,82.21,0,90,25.71,19095,Low
03-08-2025 18:00,Z1,26.03,79.85,0,90,24.35,0,Low
03-08-2025 19:00,Z1,25.24,84.68,0.5,90,23.4,0,Low
03-08-2025 20:00,Z1,24.11,86.81,2,90,22.41,0,Low
03-08-2025 21:00,Z1,23.23,83.6,0,90,21.94,1397,Low
03-08-2025 22:00,Z1,23.16,84.01,0,89.85,21.24,0,Low
03-08-2025 23:00,Z1,22.47,83.99,0.2,89.96,20.91,2423,Low
04-08-2025 00:00,Z1,22.15,84.44,0,90,20.9,0,Low
04-08-2025 01:00,Z1,21.74,83.8,0,89.92,20.45,0,Low
04-08-2025 02:00,Z1,22.81,87.38,0,89.5,21.47,2896,Low
04-08-2025 03:00,Z1,22.64,83.88,0,89.47,21.45,687,Low
04-08-2025 04:00,Z1,23.6,85.87,0,89.17,22.7,2070,Low
04-08-2025 05:00,Z1,25.19,82.43,1,90,23.66,0,Low
04-08-2025 06:00,Z1,26.51,79.2,0,90,25.53,0,Low
04-08-2025 07:00,Z1,28.05,75.96,0,89.62,26.92,20272,Low
04-08-2025 08:00,Z1,28.82,77.95,0,89.18,26.9,36681,Low
04-08-2025 09:00,Z1,29.45,76,0,89.3,27.97,47849,Low
04-08-2025 10:00,Z1,30.1,76.18,0,89.2,28.51,60314,Low
04-08-2025 11:00,Z1,30.67,75.85,0,89.67,28.62,68673,Low
04-08-2025 12:00,Z1,31.32,73.15,0.2,89.79,30.13,36526,Low
04-08-2025 13:00,Z1,30.2,76.52,1,90,28.11,34638,Low
04-08-2025 14:00,Z1,30.44,75.58,0,90,28.75,63297,Low
04-08-2025 15:00,Z1,30.11,76.75,0,90,28.69,49385,Low
04-08-2025 16:00,Z1,30.07,73.79,0,90,28.66,33237,Low
04-08-2025 17:00,Z1,26.76,81.08,0,90,25.57,17423,Low
04-08-2025 18:00,Z1,26.92,78.92,0,89.39,25.42,0,Low
04-08-2025 19:00,Z1,24.94,84.98,0,89.27,23.55,0,Low
04-08-2025 20:00,Z1,24.36,84.23,0,89.06,23.29,1936,Low
04-08-2025 21:00,Z1,24.99,85.15,0.2,89.39,23.27,0,Low
04-08-2025 22:00,Z1,22.35,85.78,0,88.69,20.95,655,Low
04-08-2025 23:00,Z1,22.16,91.65,0,88.94,20.47,734,Low
05-08-2025 00:00,Z1,22.27,89.83,0,88.63,20.55,0,Low
05-08-2025 01:00,Z1,21.81,86.24,0,88.23,20.28,1951,Low
05-08-2025 02:00,Z1,21.75,86.46,0,88.33,20.8,0,Low
05-08-2025 03:00,Z1,23.83,87.69,0,88.86,22.18,0,Low
05-08-2025 04:00,Z1,24.47,78.29,0,89.11,23.38,6,Low
05-08-2025 05:00,Z1,24.68,83.2,0,88.78,22.92,0,Low
05-08-2025 06:00,Z1,26.26,80.6,0,88.73,23.71,0,Low
05-08-2025 07:00,Z1,28.45,79.27,0,88.8,26.79,19196,Low
05-08-2025 08:00,Z1,29.39,78.13,0,88.69,28.21,34748,Low
05-08-2025 09:00,Z1,30.33,74.02,0,88.89,29.73,50826,Low
05-08-2025 10:00,Z1,30.43,77.46,0.2,89.23,29.18,30193,Low
05-08-2025 11:00,Z1,30.38,74.44,0,89.45,28.37,68337,Low
05-08-2025 12:00,Z1,30.22,74.63,0,89.6,29.01,71986,Low
05-08-2025 13:00,Z1,31.02,76.49,0,89.57,28.96,70955,Low
05-08-2025 14:00,Z1,29.78,79.63,0.5,89.96,28.17,32572,Low
05-08-2025 15:00,Z1,29.7,76.28,0,89.96,27.83,54311,Low
05-08-2025 16:00,Z1,28.89,80.11,0,89.72,27.83,35563,Low
05-08-2025 17:00,Z1,27.35,77.09,0.2,89.67,25.24,9348,Low
05-08-2025 18:00,Z1,27.02,78.29,0,89.9,25.45,1709,Low
05-08-2025 19:00,Z1,24.53,81.34,0,90,23.58,1194,Low
05-08-2025 20:00,Z1,23.41,85.52,0,90,21.81,1251,Low
05-08-2025 21:00,Z1,22.62,82.11,0,90,21.22,699,Low
05-08-2025 22:00,Z1,22.32,85.45,0,90,20.64,1463,Low
05-08-2025 23:00,Z1,22.51,86.89,0,89.96,21.06,0,Low
06-08-2025 00:00,Z1,22.76,87.38,0,90,21.11,0,Low
06-08-2025 01:00,Z1,23.26,86.57,0,90,21.75,498,Low
06-08-2025 02:00,Z1,23.44,83.01,0,89.55,21.8,3064,Low
06-08-2025 03:00,Z1,23.6,85.86,0,90,22.3,0,Low
06-08-2025 04:00,Z1,25.04,85.77,0,90,23.84,7,Low
06-08-2025 05:00,Z1,25.98,86.97,1,90,24.69,1125,Low
06-08-2025 06:00,Z1,26.61,82.85,0,90,25.09,1707,Low
06-08-2025 07:00,Z1,26.05,80.9,0.2,90,24.63,9800,Low
06-08-2025 08:00,Z1,29.6,75.03,0,89.82,28.02,35698,Low
06-08-2025 09:00,Z1,28.91,77.95,0,90,27.66,52170,Low
06-08-2025 10:00,Z1,30.79,74.13,0,89.89,29.37,63263,Low
06-08-2025 11:00,Z1,30.64,71.61,0,89.76,29.24,68564,Low
06-08-2025 12:00,Z1,31.19,75.21,0,89.39,29.89,70700,Low
06-08-2025 13:00,Z1,30.29,72.56,0,89.52,29.01,68634,Low
06-08-2025 14:00,Z1,29.74,75.6,0,88.93,28.39,60656,Low
06-08-2025 15:00,Z1,29.7,80.57,0,88.85,28.91,51611,Low
06-08-2025 16:00,Z1,28.15,79.53,0,88.62,25.96,34900,Low
06-08-2025 17:00,Z1,28.67,78.63,0,88.69,27.94,19599,Low
06-08-2025 18:00,Z1,26.91,79.54,0,89.17,24.91,0,Low
06-08-2025 19:00,Z1,25.81,80.51,0,89.61,24.42,0,Low
06-08-2025 20:00,Z1,23.97,87.17,0,89.53,22.36,3251,Low
06-08-2025 21:00,Z1,24.11,81.45,0,89.32,22.94,433,Low
06-08-2025 22:00,Z1,22.18,91.26,2,90,20.2,1666,Low
06-08-2025 23:00,Z1,21.63,86.61,0,89.81,19.93,2359,Low
07-08-2025 00:00,Z1,22.31,86.8,0,89.51,20.6,0,Low
07-08-2025 01:00,Z1,21.67,89.28,0.5,90,20.54,0,Low
07-08-2025 02:00,Z1,22.11,86.88,0,89.33,20.85,0,Low
07-08-2025 03:00,Z1,21.57,87.7,0.5,89.86,19.92,0,Low
07-08-2025 04:00,Z1,22.87,86.66,0,90,22.21,430,Low
07-08-2025 05:00,Z1,25.07,82.73,0,89.8,23.43,0,Low
07-08-2025 06:00,Z1,26.85,78.96,0,90,25.57,0,Low
07-08-2025 07:00,Z1,27.13,80.68,0,89.91,25.36,20005,Low
07-08-2025 08:00,Z1,29.43,74.8,0,89.84,27.89,37490,Low
07-08-2025 09:00,Z1,29.52,76.37,0,90,28.2,54067,Low
07-08-2025 10:00,Z1,30.87,75.65,0,89.88,30.03,65299,Low
07-08-2025 11:00,Z1,31.35,72.57,0,89.92,30.31,70827,Low
07-08-2025 12:00,Z1,29.11,91.21,5,90,27.42,32739,Low
07-08-2025 13:00,Z1,30.18,78.19,0,90,29.12,71411,Low
07-08-2025 14:00,Z1,29.94,74.44,0,89.87,28.29,60240,Low
07-08-2025 15:00,Z1,28.49,77.9,0,89.42,26.2,47087,Low
07-08-2025 16:00,Z1,28.72,79.37,0,89.43,27.11,34307,Low
07-08-2025 17:00,Z1,28.01,78.61,0,89.35,26.47,15325,Low
07-08-2025 18:00,Z1,27.85,81.04,0,89.25,26.73,1204,Low
07-08-2025 19:00,Z1,25.39,79.52,0,88.65,24.24,668,Low
07-08-2025 20:00,Z1,25.29,88.9,2,90,23.35,0,Low
07-08-2025 21:00,Z1,23.17,87.26,0,89.79,21.25,0,Low
07-08-2025 22:00,Z1,20.81,87.36,0,89.63,19.47,1103,Low
07-08-2025 23:00,Z1,20.93,87.29,0,89.44,19.42,380,Low
08-08-2025 00:00,Z1,21.51,88.01,0,89.55,20.15,0,Low
08-08-2025 01:00,Z1,21.48,86.86,0,89.34,19.89,1220,Low
08-08-2025 02:00,Z1,21.28,89.6,0,89.67,20.32,0,Low
08-08-2025 03:00,Z1,23.05,83.62,0,89.47,21.47,3469,Low
08-08-2025 04:00,Z1,23.92,84.39,0,89.28,23.02,0,Low
08-08-2025 05:00,Z1,26.29,80.53,0,88.87,24.11,450,Low
08-08-2025 06:00,Z1,27.38,78.25,0.2,89.25,25.79,3636,Low
08-08-2025 07:00,Z1,28.29,77.95,0,89.16,26.66,14700,Low
08-08-2025 08:00,Z1,29.38,72.65,0,89.34,27.92,36287,Low
08-08-2025 09:00,Z1,29.07,79.51,0.2,89.51,27.33,27539,Low
08-08-2025 10:00,Z1,30.81,77.13,0,89.56,29.83,64495,Low
08-08-2025 11:00,Z1,31.02,71.11,0.2,89.65,30,32449,Low
08-08-2025 12:00,Z1,31.05,73.48,0,90,29.75,70488,Low
08-08-2025 13:00,Z1,31.04,73.19,0,89.37,29.02,69267,Low
08-08-2025 14:00,Z1,30.05,75.07,0,89.77,28.54,62278,Low
08-08-2025 15:00,Z1,30.16,73.24,0,89.97,29.51,51858,Low
08-08-2025 16:00,Z1,28.29,78.47,0,89.72,26.84,36940,Low
08-08-2025 17:00,Z1,28.07,77.33,0,89.36,27.23,12820,Low
08-08-2025 18:00,Z1,26.47,82.64,0,89.47,25.15,626,Low
08-08-2025 19:00,Z1,24.55,79.78,0,89.41,23.21,0,Low
08-08-2025 20:00,Z1,24.52,80.6,0,89.15,23.6,1552,Low
08-08-2025 21:00,Z1,23.81,84.9,0,88.79,22.44,1956,Low
08-08-2025 22:00,Z1,23.3,82.52,0,89.31,21.97,1787,Low
08-08-2025 23:00,Z1,23.43,83.39,0,89.49,22.68,0,Low
09-08-2025 00:00,Z1,22.17,88.1,0.5,90,21.05,850,Low
09-08-2025 01:00,Z1,21.59,88.57,0,90,20.56,1800,Low
09-08-2025 02:00,Z1,23.42,85.84,0,89.81,22.21,3563,Low
09-08-2025 03:00,Z1,22.59,87.04,0,89.87,21.49,2741,Low
09-08-2025 04:00,Z1,24.9,83.84,0,89.23,23.83,0,Low
09-08-2025 05:00,Z1,24.47,83.38,0,89.25,22.6,2014,Low
09-08-2025 06:00,Z1,28.12,74.92,0,89.45,26.45,2117,Low
09-08-2025 07:00,Z1,27.71,75.17,0,89.6,25.78,19841,Low
09-08-2025 08:00,Z1,28.74,75.48,0,89.98,27.34,34575,Low
09-08-2025 09:00,Z1,29.04,78.75,0,89.67,27.69,52242,Low
09-08-2025 10:00,Z1,30.69,73.95,0,89.84,29.55,60607,Low
09-08-2025 11:00,Z1,31.45,73.51,0,89.52,29.94,69705,Low
09-08-2025 12:00,Z1,31.43,70.49,0,89.4,30.18,75006,Low
09-08-2025 13:00,Z1,31.6,68.58,0,88.98,30.53,72100,Low
